study_hours_per_day,attendance_rate,homework_completion_rate,classroom_engagement_level,parents_academic_involvement,type_of_school,tuition_hours_per_week,household_income_bracket,stress_levels_during_exams,sleep_hours_per_day,extracurricular_involvement,screen_time_non_academic,nutrition_level,overall_academic_performance
8,95.2,58.3,medium,medium,public,6,low,high,9,none,4,balanced,83.9
1,63.4,61.5,high,high,public,2,low,medium,9,moderate,5,balanced,63.0
1,90.6,98.0,medium,low,public,5,low,medium,9,moderate,4,balanced,59.2
2,54.1,89.5,medium,medium,private,6,low,medium,10,none,4,balanced,58.1
2,80.0,79.4,low,medium,public,2,low,low,11,moderate,7,junk-heavy,51.1
6,74.3,50.3,high,high,private,1,low,low,4,low,3,junk-heavy,65.6
7,77.3,41.6,low,medium,public,8,mid,high,10,none,4,balanced,80.2
5,96.3,94.5,high,low,international,8,low,high,10,high,6,balanced,90.1
1,93.6,59.6,medium,low,public,6,mid,medium,6,high,2,mixed,57.0
1,89.3,49.5,medium,medium,private,4,mid,medium,7,none,3,junk-heavy,36.9
3,63.7,63.0,medium,high,public,3,mid,medium,6,high,1,mixed,65.6
2,95.6,94.2,low,low,international,3,mid,medium,5,high,2,junk-heavy,46.7
5,54.9,57.1,medium,medium,public,0,low,medium,4,none,5,balanced,32.4
6,92.7,69.4,medium,medium,private,3,high,medium,7,low,3,junk-heavy,80.4
7,66.4,86.2,low,medium,public,6,low,high,11,moderate,1,junk-heavy,77.5
4,52.7,59.9,high,low,private,4,low,high,9,high,1,balanced,71.3
7,83.5,46.3,low,high,private,8,low,low,8,high,3,junk-heavy,83.4
8,61.6,99.6,medium,medium,international,3,high,medium,10,low,2,mixed,98.0
1,62.2,97.0,medium,medium,private,10,high,low,7,none,6,balanced,73.3
6,65.3,89.0,low,medium,public,2,high,medium,8,low,1,balanced,81.5
8,53.2,78.2,medium,high,public,5,mid,high,7,none,3,balanced,80.4
5,58.9,50.6,medium,medium,public,3,high,high,4,low,3,balanced,55.0
4,50.3,93.9,medium,medium,public,10,low,low,8,moderate,6,balanced,76.6
2,72.3,49.3,medium,medium,public,1,mid,medium,8,low,4,balanced,34.6
6,54.2,86.1,medium,medium,public,4,high,medium,5,low,3,balanced,78.5
6,84.1,94.3,high,low,private,3,mid,medium,7,high,7,mixed,83.0
1,61.8,72.2,medium,high,public,4,low,medium,6,none,1,junk-heavy,41.6
9,97.2,86.2,medium,high,public,8,mid,low,9,low,4,junk-heavy,98.0
6,93.6,85.4,high,medium,public,3,low,medium,6,moderate,1,balanced,92.2
3,64.5,43.5,low,medium,private,5,low,low,5,low,2,balanced,62.8
4,89.2,76.8,medium,low,public,3,mid,medium,5,moderate,2,mixed,64.0
4,90.2,36.5,medium,high,public,0,low,medium,5,high,1,balanced,62.4
3,99.3,65.5,high,medium,international,1,low,low,4,moderate,7,balanced,60.5
3,79.9,41.4,high,medium,public,5,mid,medium,11,moderate,7,mixed,57.4
3,54.1,59.1,high,high,private,7,mid,low,4,none,5,balanced,66.3
4,82.3,88.3,medium,medium,private,8,low,medium,4,none,5,balanced,66.3
7,81.2,99.1,medium,high,public,3,low,high,4,low,5,mixed,59.9
4,81.9,52.3,medium,medium,international,5,high,medium,5,high,1,balanced,72.7
9,65.4,67.2,medium,medium,private,2,low,medium,5,moderate,3,mixed,86.3
1,93.0,65.8,high,medium,public,8,mid,medium,10,low,4,mixed,65.5
8,98.0,96.8,low,medium,public,7,high,low,11,moderate,3,balanced,98.0
7,60.9,63.5,medium,high,private,0,mid,medium,4,none,6,mixed,68.9
2,54.4,78.9,high,medium,private,1,low,high,4,moderate,1,junk-heavy,36.7
8,59.7,94.5,high,medium,public,9,low,low,8,none,6,mixed,90.0
1,91.0,56.1,low,low,private,8,mid,high,11,moderate,7,balanced,54.7
9,83.8,93.1,low,low,public,9,mid,high,7,moderate,6,mixed,79.2
9,81.8,94.2,medium,medium,private,2,mid,high,11,low,3,junk-heavy,81.4
2,70.1,95.1,medium,medium,private,2,low,low,8,high,7,junk-heavy,49.1
7,78.9,48.9,medium,high,public,9,low,medium,7,none,6,mixed,79.0
3,65.4,58.0,medium,medium,private,8,low,medium,4,none,2,junk-heavy,45.3
7,73.9,90.9,high,medium,private,2,mid,low,4,moderate,4,balanced,90.3
9,89.7,55.1,medium,medium,public,9,mid,medium,11,high,1,balanced,98.0
4,99.1,72.0,medium,medium,private,10,low,high,9,low,4,balanced,73.2
1,96.6,38.3,medium,high,public,4,mid,high,4,high,7,junk-heavy,25.4
2,96.7,33.9,low,medium,private,5,mid,medium,8,moderate,5,mixed,52.9
1,70.1,58.8,medium,low,private,2,high,medium,5,moderate,5,junk-heavy,33.3
5,73.4,70.5,high,medium,public,9,mid,medium,7,high,7,junk-heavy,74.4
5,85.3,57.5,high,low,private,7,mid,low,10,moderate,2,mixed,98.0
7,96.1,70.4,low,medium,public,1,mid,medium,9,moderate,1,balanced,92.2
9,57.1,66.1,high,low,international,5,mid,high,11,moderate,5,junk-heavy,79.2
9,65.2,78.0,medium,medium,public,1,mid,high,8,moderate,4,balanced,82.7
3,57.0,75.5,medium,low,public,8,mid,high,9,low,7,balanced,56.9
3,80.6,59.7,low,low,private,5,low,medium,4,moderate,4,junk-heavy,38.0
3,65.3,59.7,high,medium,private,8,mid,medium,5,moderate,2,balanced,65.9
4,66.3,39.9,low,low,public,3,low,high,10,moderate,6,balanced,40.0
8,53.5,65.9,medium,low,international,2,high,high,8,none,5,junk-heavy,51.5
6,67.5,71.1,high,medium,private,1,low,high,7,moderate,3,junk-heavy,62.8
8,93.1,63.4,low,low,international,7,low,medium,9,none,5,junk-heavy,71.4
1,61.7,52.8,medium,low,public,3,low,high,9,high,2,mixed,32.6
8,84.8,80.5,low,low,public,1,low,medium,9,none,5,junk-heavy,68.5
4,81.5,35.2,medium,high,public,10,low,high,4,moderate,7,junk-heavy,38.7
1,93.2,94.0,medium,medium,international,8,low,high,7,low,1,balanced,63.8
8,56.6,31.4,medium,medium,public,7,low,medium,9,moderate,2,junk-heavy,70.4
4,98.9,97.4,high,high,international,4,low,high,4,moderate,7,balanced,78.6
6,79.1,62.4,medium,low,private,7,high,medium,4,moderate,7,junk-heavy,67.5
8,99.8,58.9,low,medium,public,4,low,high,6,none,7,balanced,65.5
4,95.6,48.0,medium,high,public,6,high,medium,7,high,3,balanced,81.3
3,61.1,30.7,high,medium,private,4,high,medium,10,none,4,junk-heavy,49.4
9,52.8,49.2,high,high,private,4,low,low,5,high,7,junk-heavy,79.4
3,62.8,37.7,low,high,public,3,low,low,4,moderate,5,balanced,40.0
9,76.4,76.2,medium,low,international,4,low,high,5,low,7,junk-heavy,64.7
2,58.6,52.3,high,high,public,6,mid,medium,8,moderate,6,junk-heavy,51.5
2,58.4,83.7,high,high,international,2,mid,high,4,moderate,4,mixed,50.4
2,73.1,44.5,medium,medium,private,3,low,high,11,moderate,7,balanced,47.2
6,51.7,93.0,medium,high,public,7,low,medium,9,none,2,junk-heavy,80.8
3,56.1,66.6,medium,low,public,5,mid,medium,11,high,4,balanced,71.9
9,70.8,38.0,low,medium,private,7,low,low,4,moderate,6,balanced,82.0
4,53.2,58.1,high,low,public,10,high,medium,9,low,6,junk-heavy,74.6
1,69.8,44.5,low,low,international,1,low,medium,4,moderate,6,balanced,26.4
4,73.7,44.0,medium,medium,public,8,low,high,9,none,6,junk-heavy,53.5
1,72.6,65.4,medium,medium,international,6,low,high,5,low,1,mixed,47.8
5,93.5,77.0,medium,medium,private,4,mid,medium,6,none,6,junk-heavy,61.3
4,76.5,93.8,medium,medium,private,10,low,high,10,high,2,mixed,79.2
8,73.4,65.2,medium,medium,public,6,low,medium,7,low,2,junk-heavy,80.2
8,70.5,97.6,medium,low,public,1,low,medium,4,moderate,5,mixed,70.3
7,90.9,95.9,medium,medium,private,10,low,high,7,low,7,balanced,79.3
3,94.8,90.6,medium,high,public,3,mid,medium,9,none,2,junk-heavy,71.1
1,92.7,65.0,high,medium,private,6,low,high,7,none,1,junk-heavy,42.1
1,83.7,39.9,high,medium,private,1,mid,medium,9,high,5,mixed,52.7
3,56.9,45.3,medium,medium,public,7,low,low,11,none,1,balanced,71.9
6,63.8,75.3,high,medium,public,9,mid,medium,7,none,3,balanced,94.4
7,52.3,59.5,medium,medium,public,9,mid,medium,9,none,5,mixed,71.5
6,96.5,40.3,medium,high,public,10,mid,medium,5,low,2,balanced,83.4
6,83.0,63.5,high,medium,international,4,mid,low,11,high,2,balanced,98.0
6,87.3,31.2,medium,medium,private,4,low,medium,9,high,2,junk-heavy,64.3
3,65.6,81.4,low,medium,public,7,high,high,7,none,3,junk-heavy,41.0
6,92.3,35.2,high,medium,private,0,mid,medium,8,none,1,mixed,76.5
8,63.0,74.0,high,medium,public,5,low,medium,10,moderate,2,junk-heavy,90.7
2,50.1,85.5,medium,medium,public,1,low,medium,9,low,6,junk-heavy,37.4
5,68.8,39.3,high,medium,public,0,low,medium,5,high,4,balanced,60.3
1,78.5,66.3,medium,medium,international,6,mid,medium,11,low,6,junk-heavy,55.7
1,73.9,84.5,medium,medium,international,3,low,high,5,low,7,balanced,37.8
5,93.1,48.2,medium,high,private,0,high,medium,8,none,2,balanced,78.5
3,55.3,41.4,medium,medium,public,9,low,medium,6,high,5,mixed,47.5
4,77.7,53.6,medium,high,public,10,mid,medium,6,none,5,balanced,70.4
3,75.6,68.8,low,low,private,10,mid,medium,9,low,4,junk-heavy,50.9
1,64.1,70.3,low,low,public,5,high,high,4,low,7,mixed,25.2
1,91.1,39.2,medium,medium,public,9,low,high,6,low,7,balanced,43.8
5,87.6,62.0,medium,medium,private,5,high,medium,10,none,3,balanced,87.6
6,86.6,48.8,low,medium,public,2,high,low,4,none,5,junk-heavy,54.9
3,93.8,88.9,high,low,public,5,high,medium,10,high,3,balanced,79.1
9,86.1,52.0,medium,low,public,9,high,high,7,low,3,mixed,80.0
5,61.6,88.7,low,medium,private,8,high,low,4,low,4,balanced,81.2
8,85.3,60.0,medium,low,international,5,mid,high,6,high,5,mixed,74.7
1,65.4,80.9,high,medium,public,0,high,medium,4,high,6,mixed,41.1
5,62.1,65.7,medium,medium,public,9,mid,low,5,moderate,7,mixed,67.1
3,53.7,73.5,low,medium,public,5,mid,medium,10,moderate,2,balanced,67.2
1,87.2,57.7,low,low,public,7,mid,medium,6,high,6,balanced,44.7
4,85.6,83.8,medium,low,private,6,high,low,11,none,6,balanced,80.4
5,61.7,59.8,medium,medium,public,7,low,medium,11,moderate,6,junk-heavy,54.3
7,87.5,62.0,medium,low,public,10,high,medium,10,none,7,balanced,90.3
1,95.9,66.2,high,medium,private,7,low,high,4,none,3,mixed,49.8
3,55.4,88.2,medium,high,public,8,low,high,6,low,3,junk-heavy,46.2
2,61.6,76.2,high,low,international,2,low,high,11,moderate,5,junk-heavy,41.7
9,87.5,54.4,high,low,public,6,low,medium,11,high,5,junk-heavy,93.8
6,63.7,76.9,high,low,public,5,high,low,10,moderate,6,junk-heavy,85.2
3,81.2,75.0,high,high,public,1,low,medium,8,low,4,balanced,55.4
8,54.1,95.2,high,low,public,4,mid,high,6,moderate,1,balanced,91.1
8,72.6,88.9,medium,high,international,2,low,medium,10,moderate,6,junk-heavy,86.2
2,87.0,75.3,medium,medium,private,10,high,medium,8,moderate,6,junk-heavy,64.8
6,84.3,53.9,medium,medium,public,4,high,medium,4,moderate,7,balanced,68.3
7,90.8,84.6,high,low,private,10,low,medium,8,low,7,mixed,85.3
2,93.9,70.3,medium,medium,international,8,low,low,6,moderate,1,mixed,76.1
2,88.7,99.0,low,medium,public,7,mid,low,5,none,7,balanced,51.6
1,83.6,47.3,low,medium,public,8,mid,medium,8,moderate,1,junk-heavy,52.9
8,51.6,35.6,high,medium,public,8,low,medium,6,high,3,balanced,89.3
1,76.7,34.9,high,medium,private,10,high,medium,5,none,4,balanced,54.0
9,51.9,74.8,medium,medium,public,7,high,medium,7,none,7,mixed,76.6
6,90.4,95.7,medium,medium,public,7,low,medium,9,high,1,mixed,92.3
7,66.0,30.1,medium,medium,public,10,high,low,8,high,6,junk-heavy,83.7
7,78.1,80.8,low,medium,private,10,low,medium,8,low,5,mixed,79.8
3,64.0,76.0,medium,low,private,5,mid,medium,4,low,7,junk-heavy,36.5
2,89.1,81.3,medium,medium,public,5,mid,high,7,low,6,junk-heavy,44.2
9,94.3,54.9,high,medium,public,5,low,medium,4,low,7,junk-heavy,77.6
8,69.9,87.4,medium,low,international,9,low,low,4,high,3,balanced,97.6
7,93.1,33.1,medium,medium,public,5,low,low,6,low,3,balanced,79.9
9,63.4,82.9,high,low,public,10,mid,high,10,moderate,6,junk-heavy,88.7
4,76.7,48.7,medium,low,private,8,high,medium,11,high,7,junk-heavy,64.7
4,92.9,63.4,medium,high,private,9,mid,medium,4,low,5,junk-heavy,49.8
1,66.3,87.6,medium,medium,public,0,mid,medium,10,none,4,junk-heavy,49.1
8,97.7,49.0,high,medium,public,9,mid,low,8,high,4,balanced,98.0
3,56.1,43.0,medium,high,private,5,low,medium,4,moderate,1,balanced,61.2
7,50.9,77.7,medium,low,private,7,high,medium,5,none,5,junk-heavy,75.7
2,95.2,67.3,high,high,private,0,mid,high,8,moderate,2,balanced,65.8
2,53.4,66.0,high,low,private,10,low,low,9,high,4,mixed,77.5
7,99.6,48.0,medium,medium,public,10,low,high,6,none,1,junk-heavy,76.2
6,97.6,32.4,high,medium,private,5,high,medium,4,low,3,balanced,84.7
3,56.9,58.7,high,high,public,8,low,low,5,low,4,mixed,67.3
9,76.9,37.5,high,medium,private,5,high,high,9,high,2,junk-heavy,87.2
6,59.2,93.4,high,medium,private,1,low,high,10,low,3,junk-heavy,62.8
6,71.4,32.9,medium,medium,public,0,mid,medium,5,low,3,mixed,49.0
1,53.1,60.2,medium,low,private,3,low,medium,8,none,7,junk-heavy,27.6
4,61.2,33.7,low,medium,public,5,high,high,4,high,5,mixed,32.8
6,68.2,36.7,medium,low,public,9,mid,high,5,low,5,mixed,46.2
6,71.9,76.1,high,medium,public,9,low,high,4,moderate,6,balanced,72.7
5,98.9,75.3,high,medium,private,8,low,high,8,none,4,balanced,84.7
1,90.4,32.3,medium,high,public,4,low,medium,7,moderate,2,junk-heavy,44.7
8,86.9,30.1,medium,medium,public,6,high,high,5,moderate,5,mixed,74.4
5,76.9,35.5,medium,medium,private,5,mid,medium,6,none,1,mixed,70.8
5,92.0,83.4,medium,low,public,5,high,low,10,none,3,mixed,84.4
7,67.0,70.9,high,low,private,8,low,high,4,low,1,junk-heavy,70.8
4,85.4,32.7,medium,medium,public,4,mid,low,9,low,3,mixed,62.9
6,99.7,64.2,low,medium,public,1,high,medium,8,moderate,1,mixed,82.1
4,65.7,79.8,medium,medium,public,7,mid,medium,8,none,3,balanced,73.0
3,83.7,90.8,medium,medium,international,10,low,high,9,moderate,5,balanced,71.6
7,92.2,95.4,high,low,public,2,mid,medium,6,low,1,junk-heavy,89.0
8,95.8,52.9,medium,medium,public,8,mid,medium,11,low,4,junk-heavy,92.1
4,85.9,39.5,high,low,private,4,mid,low,7,none,4,junk-heavy,61.3
2,64.2,46.6,medium,low,private,0,low,medium,4,low,2,balanced,35.2
3,66.3,84.3,low,low,public,3,low,high,7,none,2,balanced,49.3
1,51.0,98.0,medium,medium,private,8,high,medium,10,moderate,7,mixed,52.9
