study_hours_per_day,attendance_rate,homework_completion_rate,classroom_engagement_level,parents_academic_involvement,type_of_school,tuition_hours_per_week,household_income_bracket,stress_levels_during_exams,sleep_hours_per_day,extracurricular_involvement,screen_time_non_academic,nutrition_level,overall_academic_performance
9,83.3,31.4,high,high,private,2,mid,medium,5,low,1,mixed,98.0
3,52.5,70.0,high,medium,private,9,mid,medium,10,moderate,3,mixed,77.9
9,67.1,92.2,medium,medium,public,0,low,medium,8,low,1,mixed,84.7
9,66.3,41.2,medium,medium,private,1,high,high,10,high,2,balanced,92.3
4,81.6,95.7,low,high,public,3,high,high,6,low,1,mixed,64.3
3,79.2,39.3,low,medium,private,2,high,high,10,moderate,5,mixed,53.7
6,98.6,32.2,medium,high,public,5,low,high,7,low,6,mixed,65.1
7,75.7,48.2,medium,medium,private,0,mid,low,6,low,6,balanced,69.0
7,50.5,47.7,medium,high,private,3,mid,medium,9,moderate,7,balanced,76.4
1,75.6,54.3,high,high,public,9,high,medium,6,low,7,balanced,62.0
9,85.6,44.3,high,medium,private,1,mid,medium,10,none,6,junk-heavy,80.3
9,79.1,49.4,medium,low,public,5,mid,medium,6,moderate,3,mixed,81.5
3,63.7,63.0,medium,high,public,3,mid,medium,6,high,1,mixed,65.6
9,74.2,47.9,medium,medium,public,7,high,medium,11,moderate,1,balanced,98.0
4,76.7,97.8,medium,high,public,6,low,medium,6,low,3,balanced,74.2
7,56.9,81.4,medium,medium,public,6,mid,medium,11,moderate,5,balanced,94.4
7,75.0,76.8,high,high,public,2,mid,low,6,moderate,6,balanced,84.9
9,79.6,41.5,high,low,public,2,low,high,11,none,4,balanced,83.4
7,86.1,71.6,low,high,private,0,high,medium,6,none,3,balanced,83.1
2,80.3,47.1,high,low,public,9,mid,medium,6,moderate,4,balanced,66.6
2,97.7,60.6,high,low,public,4,mid,medium,8,none,6,balanced,53.4
6,55.5,55.8,low,medium,public,5,mid,high,8,none,7,balanced,55.5
5,93.2,30.1,medium,medium,private,6,low,medium,6,high,5,mixed,57.7
3,82.9,47.1,high,medium,public,6,mid,low,5,high,3,balanced,65.0
8,92.7,32.4,medium,high,public,7,mid,high,10,moderate,7,junk-heavy,77.3
7,58.5,65.7,low,low,public,0,mid,medium,11,low,7,junk-heavy,54.0
6,53.8,97.4,medium,medium,international,0,low,medium,6,low,1,balanced,74.8
9,64.5,59.0,medium,medium,private,6,mid,high,4,low,3,balanced,81.9
2,70.4,60.6,medium,low,public,5,mid,high,8,high,5,mixed,37.1
8,92.5,73.3,medium,medium,public,3,low,high,4,moderate,2,mixed,76.4
3,84.5,48.2,medium,low,private,2,mid,high,9,low,1,mixed,48.5
7,76.0,55.8,high,medium,public,6,low,high,10,low,5,mixed,73.9
3,63.9,82.0,medium,medium,public,7,low,medium,8,low,1,mixed,63.6
9,51.0,90.1,high,medium,private,5,mid,medium,9,high,1,junk-heavy,98.0
8,50.0,76.6,medium,low,private,1,low,high,6,none,6,balanced,45.4
7,62.7,30.2,high,medium,private,4,high,medium,8,high,3,mixed,86.4
1,72.5,62.9,low,low,public,4,mid,medium,11,moderate,7,junk-heavy,40.8
5,97.5,47.9,medium,high,private,5,mid,high,11,none,7,balanced,80.7
2,81.7,99.3,medium,high,private,0,low,medium,5,low,3,balanced,49.5
1,91.3,63.4,high,medium,public,10,high,high,8,moderate,5,mixed,63.7
9,94.3,54.9,high,medium,public,5,low,medium,4,low,7,junk-heavy,77.6
5,79.3,70.7,high,high,public,1,low,high,8,high,5,balanced,70.7
7,88.4,72.1,medium,low,public,4,low,medium,10,moderate,1,mixed,88.9
9,86.7,39.2,medium,low,public,5,low,low,7,moderate,4,junk-heavy,73.7
7,72.3,95.0,low,medium,international,0,mid,high,11,moderate,7,junk-heavy,71.9
3,65.4,58.0,medium,medium,private,8,low,medium,4,none,2,junk-heavy,45.3
1,58.6,44.5,medium,medium,public,2,low,high,7,low,3,mixed,25.0
9,74.1,57.8,high,high,private,7,low,medium,8,high,6,junk-heavy,98.0
3,56.4,80.4,medium,medium,public,7,low,medium,11,none,7,balanced,60.8
7,66.0,30.1,medium,medium,public,10,high,low,8,high,6,junk-heavy,83.7
9,69.5,49.1,medium,high,private,4,mid,medium,5,moderate,1,balanced,94.4
8,57.5,41.8,medium,low,public,3,low,low,9,none,4,mixed,77.4
9,95.0,69.0,medium,low,public,7,low,medium,11,high,3,mixed,95.7
8,72.9,47.6,medium,low,private,6,mid,medium,6,moderate,3,junk-heavy,69.0
6,77.9,75.6,low,high,public,8,mid,high,9,moderate,3,junk-heavy,79.4
5,63.4,71.6,medium,low,private,4,low,high,7,moderate,4,junk-heavy,46.9
1,70.1,58.8,medium,low,private,2,high,medium,5,moderate,5,junk-heavy,33.3
2,86.5,64.6,high,medium,public,4,low,medium,5,none,3,mixed,44.5
1,76.6,64.1,medium,high,private,9,low,low,11,moderate,3,mixed,65.0
2,86.9,82.4,medium,medium,private,5,mid,medium,6,moderate,2,junk-heavy,64.0
9,72.2,66.1,high,medium,private,3,mid,high,7,moderate,7,balanced,91.3
4,83.3,49.1,low,medium,public,8,mid,medium,11,high,3,balanced,78.8
9,93.0,73.8,medium,medium,public,0,mid,high,4,none,7,balanced,58.1
6,54.2,86.1,medium,medium,public,4,high,medium,5,low,3,balanced,78.5
4,64.1,39.5,medium,medium,public,4,mid,low,9,high,7,mixed,51.2
3,62.1,77.9,high,low,international,1,high,high,6,low,1,mixed,59.1
1,90.3,97.5,high,medium,public,3,mid,high,5,high,4,balanced,54.0
8,82.9,74.2,medium,high,public,1,low,high,6,high,1,junk-heavy,68.0
5,61.6,88.7,low,medium,private,8,high,low,4,low,4,balanced,81.2
7,70.2,46.5,high,high,public,2,low,medium,7,low,7,mixed,75.4
8,62.3,74.0,high,medium,public,10,low,low,10,moderate,3,junk-heavy,97.4
1,70.6,42.6,medium,low,public,10,mid,low,7,none,4,mixed,55.2
2,61.6,76.2,high,low,international,2,low,high,11,moderate,5,junk-heavy,41.7
3,99.2,59.0,low,low,public,1,low,low,11,low,4,mixed,59.6
6,70.9,70.8,medium,high,private,8,high,medium,8,high,2,balanced,95.3
2,70.8,36.9,medium,medium,public,8,high,medium,9,low,2,junk-heavy,51.2
3,99.3,65.5,high,medium,international,1,low,low,4,moderate,7,balanced,60.5
4,71.9,70.9,medium,high,public,4,low,medium,7,high,4,balanced,69.1
4,73.8,67.6,medium,high,public,1,high,medium,8,moderate,4,junk-heavy,62.4
6,65.7,39.1,medium,low,private,4,low,medium,9,moderate,2,balanced,83.3
4,77.7,53.6,medium,high,public,10,mid,medium,6,none,5,balanced,70.4
1,69.5,56.8,high,low,private,10,mid,medium,10,low,3,balanced,69.3
9,54.7,59.6,high,high,public,0,mid,medium,10,high,6,balanced,89.4
4,52.9,85.9,medium,medium,public,1,high,high,4,moderate,7,balanced,51.5
6,85.2,91.4,high,high,public,9,low,low,6,low,2,mixed,98.0
4,50.0,60.7,medium,medium,public,0,mid,medium,10,moderate,5,balanced,57.6
3,79.3,36.8,high,low,public,2,low,high,11,none,6,junk-heavy,37.0
4,66.3,39.9,low,low,public,3,low,high,10,moderate,6,balanced,40.0
6,92.3,80.3,medium,medium,public,3,low,high,4,low,3,balanced,79.0
1,69.8,95.2,medium,medium,public,2,high,high,11,high,7,balanced,44.0
7,95.3,78.2,medium,medium,public,0,low,medium,11,none,2,mixed,79.8
2,74.3,49.2,medium,medium,public,6,low,low,11,low,5,balanced,63.5
2,76.8,39.1,low,low,private,1,high,high,6,low,5,balanced,34.7
5,57.6,94.8,high,high,private,4,mid,high,4,moderate,2,junk-heavy,77.8
5,60.1,96.3,medium,medium,public,5,mid,high,9,high,7,balanced,70.1
2,80.4,65.7,medium,medium,public,2,low,high,9,low,3,junk-heavy,45.1
6,67.8,95.8,medium,medium,public,2,low,medium,11,moderate,1,mixed,87.5
8,74.5,35.0,medium,low,public,7,mid,high,6,high,2,balanced,80.5
4,96.7,86.0,low,medium,international,3,low,high,8,high,2,mixed,55.1
2,54.4,78.9,high,medium,private,1,low,high,4,moderate,1,junk-heavy,36.7
7,53.9,72.7,medium,medium,international,2,low,high,10,low,6,junk-heavy,52.0
3,76.6,53.5,medium,medium,private,4,low,low,5,low,4,mixed,51.7
6,97.8,35.0,high,high,private,10,mid,medium,5,none,3,junk-heavy,96.1
2,74.8,43.0,high,low,public,1,high,low,9,moderate,3,balanced,66.2
9,89.5,90.0,medium,low,public,7,high,medium,9,none,6,junk-heavy,78.8
8,65.9,79.8,low,medium,public,3,mid,medium,5,low,2,junk-heavy,68.2
5,83.9,57.6,high,low,public,3,low,medium,5,low,1,balanced,70.8
3,80.2,56.5,medium,low,public,8,mid,medium,9,none,7,balanced,64.4
6,94.2,53.9,medium,high,private,4,low,medium,6,high,1,balanced,84.2
5,62.6,66.3,low,medium,international,9,mid,high,8,moderate,1,balanced,76.0
6,99.8,33.9,high,high,international,3,low,high,6,high,5,mixed,77.6
2,81.9,52.6,medium,medium,public,0,low,medium,11,none,4,junk-heavy,31.8
9,86.1,53.9,medium,medium,private,3,low,medium,7,low,4,balanced,86.0
8,71.6,55.6,medium,low,public,4,low,high,10,high,1,balanced,74.6
7,52.4,49.0,medium,medium,private,1,low,high,7,high,2,balanced,61.4
4,92.9,63.4,medium,high,private,9,mid,medium,4,low,5,junk-heavy,49.8
5,84.4,43.9,medium,low,public,3,low,medium,6,moderate,3,mixed,56.1
6,53.5,42.1,medium,low,public,5,mid,high,4,low,5,junk-heavy,41.8
5,51.2,64.3,medium,high,private,5,mid,medium,11,none,7,junk-heavy,67.9
6,56.9,68.8,medium,low,private,9,low,medium,4,low,3,balanced,70.6
4,57.7,40.4,low,low,public,8,mid,medium,7,none,1,balanced,59.3
4,64.5,95.2,medium,low,public,6,low,medium,10,high,1,junk-heavy,61.8
7,54.1,45.2,high,low,private,4,mid,medium,4,high,7,balanced,63.6
5,87.5,73.0,medium,high,private,1,low,high,9,high,4,mixed,64.1
1,53.6,67.2,medium,medium,public,0,low,medium,11,moderate,5,balanced,47.2
5,91.8,47.2,medium,medium,public,3,high,medium,11,high,4,mixed,69.0
2,89.0,70.8,high,high,public,2,mid,medium,4,moderate,6,junk-heavy,35.5
8,52.0,75.0,low,medium,private,3,low,medium,5,low,7,balanced,65.9
6,80.0,59.8,medium,medium,public,9,low,low,8,low,3,balanced,87.8
4,80.6,68.5,medium,low,public,0,low,high,4,moderate,6,mixed,31.3
3,57.4,58.3,high,medium,private,4,high,medium,5,moderate,4,balanced,63.0
1,83.9,39.5,medium,low,public,0,high,medium,8,none,1,balanced,49.4
3,86.7,41.6,medium,medium,public,9,mid,low,9,high,5,junk-heavy,58.9
6,94.7,31.5,medium,high,private,5,high,high,11,low,6,mixed,78.4
3,57.1,87.9,high,low,private,2,mid,medium,4,high,4,balanced,60.3
2,84.8,64.5,medium,medium,international,7,mid,medium,11,high,6,junk-heavy,54.4
9,98.5,54.4,low,low,public,6,mid,high,7,low,6,mixed,75.8
4,52.0,99.0,medium,medium,private,2,low,medium,6,none,6,balanced,54.6
7,95.0,91.7,high,low,private,7,low,low,11,moderate,5,balanced,98.0
5,53.8,30.4,high,low,public,3,mid,medium,10,low,1,balanced,71.0
6,92.5,78.6,medium,medium,private,5,low,high,7,low,2,junk-heavy,73.0
5,77.3,85.0,medium,medium,public,3,mid,medium,11,none,7,balanced,73.1
8,88.5,79.0,high,medium,public,8,low,high,7,moderate,4,mixed,91.1
5,66.4,60.9,low,high,private,2,mid,medium,6,high,5,balanced,63.4
7,68.0,65.7,medium,low,private,2,mid,low,6,moderate,1,junk-heavy,76.8
4,83.0,30.7,low,high,public,9,mid,medium,4,high,7,mixed,54.1
8,84.3,84.1,high,high,private,0,low,medium,7,moderate,2,mixed,98.0
8,61.6,97.6,low,low,international,10,mid,low,6,moderate,1,mixed,98.0
4,72.4,86.9,medium,medium,private,6,low,medium,6,low,4,mixed,69.1
5,71.1,38.5,high,medium,private,1,mid,medium,5,low,4,junk-heavy,59.1
1,94.9,82.3,medium,medium,private,6,low,high,11,moderate,2,junk-heavy,56.5
8,66.4,55.0,high,medium,public,3,high,high,7,high,1,mixed,90.7
8,65.8,38.4,medium,medium,public,8,high,medium,7,moderate,2,junk-heavy,83.6
5,51.5,88.3,medium,medium,private,8,mid,high,6,moderate,2,mixed,75.6
8,79.7,73.6,high,medium,private,3,low,medium,10,low,7,mixed,91.3
6,91.7,62.6,medium,medium,public,7,low,low,9,moderate,4,balanced,87.4
4,56.8,34.1,medium,medium,private,5,mid,medium,8,moderate,2,mixed,65.7
1,64.1,64.2,high,low,international,5,mid,low,4,low,3,balanced,61.7
3,66.0,47.4,medium,high,public,7,mid,low,10,none,4,junk-heavy,54.3
3,65.2,68.6,medium,low,private,6,low,low,9,low,2,balanced,62.7
7,63.8,76.7,high,medium,public,3,low,high,11,moderate,3,balanced,88.7
5,84.0,76.4,medium,medium,private,1,mid,high,8,low,3,balanced,71.1
1,87.2,69.8,medium,low,public,7,high,medium,8,high,1,balanced,61.8
9,69.1,74.4,high,medium,international,6,low,high,11,low,2,balanced,98.0
5,55.6,37.5,medium,medium,private,1,low,medium,9,low,7,mixed,47.8
7,57.2,58.8,medium,low,private,5,low,medium,5,moderate,3,balanced,63.2
7,66.7,64.8,medium,high,private,6,mid,high,7,moderate,4,balanced,86.1
7,51.0,60.2,low,medium,private,1,low,low,7,none,1,junk-heavy,60.8
9,50.8,46.6,medium,medium,international,10,mid,medium,5,high,6,junk-heavy,73.3
2,97.9,55.1,low,medium,public,1,low,high,8,low,4,junk-heavy,33.6
3,99.6,85.5,high,low,public,3,high,medium,7,none,4,mixed,56.0
1,94.1,75.8,low,low,private,0,low,medium,4,high,7,junk-heavy,27.4
1,83.6,53.6,medium,low,public,9,high,medium,10,high,2,mixed,53.8
2,86.2,60.3,high,low,private,9,mid,high,11,low,1,balanced,77.1
1,85.5,76.1,high,high,private,10,low,high,10,high,2,junk-heavy,66.8
1,59.5,87.6,medium,high,private,5,low,medium,8,moderate,3,junk-heavy,56.2
4,60.5,79.4,medium,low,public,5,mid,high,8,moderate,6,junk-heavy,44.8
3,68.0,97.5,high,medium,private,4,low,low,6,moderate,6,balanced,77.1
7,59.1,58.0,high,high,public,6,mid,low,4,none,4,balanced,83.4
6,91.0,98.2,high,low,public,1,mid,high,6,moderate,6,balanced,69.3
6,67.8,88.6,medium,medium,public,1,low,medium,4,moderate,2,balanced,75.3
9,58.7,62.4,medium,medium,public,7,mid,low,8,low,4,junk-heavy,88.3
7,86.4,40.9,medium,low,public,4,low,high,7,moderate,3,mixed,63.0
1,74.1,32.2,low,medium,public,4,low,medium,8,low,5,mixed,30.0
7,72.3,93.8,medium,low,private,5,mid,high,7,low,4,mixed,81.4
6,98.7,41.8,medium,low,public,3,low,medium,10,low,1,mixed,76.5
5,74.0,33.5,medium,low,private,8,high,high,10,moderate,2,junk-heavy,64.4
8,54.1,63.7,high,low,public,2,high,high,10,moderate,4,balanced,87.3
1,66.4,70.4,medium,medium,public,10,low,medium,6,low,6,junk-heavy,43.5
2,88.2,38.2,low,medium,private,8,mid,medium,6,low,3,balanced,46.6
6,99.6,77.1,high,high,private,4,mid,medium,9,low,3,mixed,96.2
5,66.0,39.0,high,low,private,5,mid,high,10,high,4,balanced,72.5
8,60.3,36.6,medium,low,international,2,low,medium,4,low,1,balanced,71.4
5,97.7,73.0,medium,low,public,5,high,medium,5,low,6,mixed,65.2
1,90.4,32.3,medium,high,public,4,low,medium,7,moderate,2,junk-heavy,44.7
6,62.1,94.7,low,low,international,10,mid,medium,9,low,6,junk-heavy,80.2
2,72.7,74.2,high,medium,public,9,low,medium,10,low,4,junk-heavy,59.6
1,74.3,60.6,low,medium,public,1,high,medium,5,moderate,4,mixed,32.8
6,99.2,93.8,low,low,public,2,low,medium,9,low,1,junk-heavy,65.4
6,63.8,62.9,low,low,public,6,mid,medium,4,low,5,mixed,63.1
4,54.6,62.2,high,medium,public,2,mid,medium,8,low,4,mixed,57.2
7,78.3,49.8,high,low,international,8,mid,medium,8,low,6,junk-heavy,86.2
2,52.8,81.5,medium,medium,public,5,high,medium,8,high,1,junk-heavy,56.7
9,90.3,84.4,medium,low,private,6,low,high,4,moderate,4,mixed,82.2
1,70.4,72.9,low,high,public,8,low,medium,9,low,3,mixed,51.1
4,60.1,97.0,high,medium,international,0,low,low,8,low,2,mixed,77.4
3,69.9,59.0,low,medium,public,7,mid,medium,9,high,4,junk-heavy,54.4
3,51.2,62.8,medium,medium,public,4,mid,high,11,high,1,junk-heavy,57.2
3,85.7,74.1,medium,low,public,7,high,high,10,none,6,junk-heavy,55.8
8,88.1,90.9,low,low,public,5,low,medium,5,none,4,junk-heavy,59.8
1,59.2,60.8,medium,medium,public,2,low,high,7,moderate,1,balanced,39.5
6,54.5,38.6,medium,low,international,8,high,high,7,none,6,balanced,55.4
5,71.7,52.2,high,medium,public,3,mid,low,4,moderate,1,junk-heavy,66.5
7,94.6,50.8,low,low,private,0,mid,medium,11,moderate,6,balanced,77.5
5,56.2,97.8,low,medium,private,9,low,high,8,moderate,6,balanced,67.7
5,93.5,77.0,medium,medium,private,4,mid,medium,6,none,6,junk-heavy,61.3
4,90.9,37.3,medium,medium,public,2,low,medium,11,low,1,balanced,71.5
8,75.1,83.5,high,low,public,0,low,medium,7,moderate,5,balanced,85.6
7,90.1,59.5,medium,medium,public,2,mid,medium,11,moderate,2,junk-heavy,94.8
7,88.7,68.6,medium,medium,public,0,mid,low,6,low,7,balanced,70.0
2,73.3,96.1,high,medium,private,10,mid,medium,6,none,1,balanced,75.0
3,53.3,72.4,medium,low,public,3,mid,medium,4,low,1,mixed,48.6
5,67.4,59.4,medium,high,public,2,low,medium,11,low,1,balanced,78.1
8,52.7,60.8,medium,medium,public,3,low,medium,8,none,3,balanced,73.5
3,53.2,83.1,high,high,private,3,high,high,8,none,6,junk-heavy,51.0
8,77.8,70.4,high,low,private,4,mid,low,5,none,7,junk-heavy,64.7
8,67.2,92.9,medium,low,international,3,high,high,4,low,6,mixed,72.1
6,98.1,91.2,medium,medium,public,0,high,medium,10,moderate,6,balanced,92.1
8,80.1,59.9,high,medium,public,6,low,medium,10,low,3,junk-heavy,82.1
7,63.1,35.6,medium,low,international,4,low,low,11,high,4,mixed,76.5
6,57.1,69.8,high,low,public,6,high,high,6,low,2,junk-heavy,60.2
5,99.6,33.7,high,medium,private,5,low,medium,8,high,4,mixed,75.2
2,64.9,98.6,high,medium,public,0,low,medium,11,low,4,junk-heavy,52.5
2,81.4,36.7,medium,low,private,6,mid,medium,10,high,4,balanced,62.8
9,70.8,57.3,high,medium,public,7,low,medium,5,high,3,mixed,96.3
2,79.8,83.9,medium,low,private,9,low,medium,9,moderate,1,balanced,76.1
7,76.4,46.3,medium,low,public,5,low,low,8,moderate,1,balanced,88.6
2,94.6,85.4,low,low,international,3,low,high,8,low,2,balanced,65.2
3,72.2,48.8,high,medium,public,1,mid,high,4,none,3,mixed,26.6
2,89.4,69.7,medium,medium,private,9,mid,low,11,low,5,balanced,77.6
8,70.4,51.7,high,low,international,10,mid,medium,9,low,4,mixed,90.3
3,92.4,55.3,high,low,private,0,low,medium,8,low,6,junk-heavy,44.9
6,69.4,51.2,low,medium,international,7,low,medium,11,none,1,mixed,82.5
5,63.4,94.7,high,low,public,8,low,low,11,low,3,junk-heavy,78.8
1,84.5,45.1,medium,high,public,4,low,medium,6,moderate,3,balanced,52.5
3,53.6,68.7,medium,high,private,1,mid,high,11,low,5,mixed,55.6
4,90.5,36.5,medium,low,public,5,mid,medium,10,none,5,junk-heavy,49.5
9,80.1,40.6,medium,low,private,1,high,medium,9,none,6,mixed,76.2
6,98.1,58.3,medium,low,public,10,low,medium,11,high,4,junk-heavy,72.2
7,62.0,38.5,medium,medium,private,3,high,medium,11,moderate,4,junk-heavy,79.0
5,93.4,71.6,medium,high,public,9,mid,high,5,low,5,balanced,68.5
8,96.3,70.4,medium,low,private,5,high,high,5,none,1,balanced,76.0
3,81.3,67.3,high,low,public,4,mid,medium,4,none,1,mixed,56.5
6,84.5,85.0,medium,low,public,4,mid,medium,10,moderate,2,mixed,87.7
3,64.9,96.6,high,low,private,9,mid,high,5,moderate,6,junk-heavy,51.6
1,96.6,31.4,high,medium,private,1,mid,medium,4,low,2,balanced,50.9
1,57.5,64.6,medium,low,public,7,high,medium,11,moderate,4,mixed,57.6
4,50.5,56.1,high,medium,private,1,mid,medium,7,high,7,junk-heavy,55.8
6,63.3,83.2,medium,high,public,6,high,low,7,none,2,balanced,98.0
7,84.9,88.7,low,medium,private,0,high,high,7,moderate,1,junk-heavy,73.3
8,95.2,58.3,medium,medium,public,6,low,high,9,none,4,balanced,83.9
6,90.9,31.1,high,medium,public,8,low,medium,8,low,6,mixed,80.1
3,67.7,74.6,high,medium,public,4,mid,medium,11,none,2,junk-heavy,69.0
6,81.2,99.3,medium,medium,public,7,high,high,4,high,1,mixed,76.7
8,69.7,48.8,high,high,public,6,low,medium,4,low,2,balanced,91.5
2,82.4,73.0,low,medium,public,6,mid,high,11,high,6,mixed,53.4
1,75.5,47.5,medium,medium,international,3,low,medium,7,moderate,1,balanced,57.1
6,90.3,38.9,high,high,public,6,high,low,6,moderate,2,balanced,98.0
9,71.4,79.7,medium,low,private,8,mid,low,8,low,3,mixed,97.3
3,68.5,92.0,medium,low,public,3,low,high,8,high,2,balanced,50.4
3,50.3,63.1,high,low,public,0,high,medium,11,low,1,mixed,59.4
4,73.1,88.9,low,low,international,6,high,medium,5,none,4,balanced,68.5
6,71.9,76.1,high,medium,public,9,low,high,4,moderate,6,balanced,72.7
3,51.5,55.3,medium,low,public,0,mid,high,11,low,1,mixed,49.0
3,99.9,32.0,low,medium,international,6,low,medium,11,low,1,balanced,70.0
7,86.2,66.8,medium,low,public,4,high,low,4,moderate,3,junk-heavy,70.4
2,72.9,70.5,high,low,public,2,high,medium,8,low,4,mixed,50.7
4,68.1,82.5,high,high,private,3,low,medium,9,low,7,junk-heavy,64.9
2,76.0,89.5,medium,low,private,2,low,medium,5,none,6,mixed,32.4
9,82.2,67.7,medium,high,private,8,low,high,6,high,7,junk-heavy,78.2
3,88.1,37.2,medium,low,public,4,high,low,11,moderate,5,mixed,64.8
6,76.3,49.1,medium,high,private,1,high,medium,9,low,3,junk-heavy,74.7
6,71.5,91.1,medium,medium,private,2,low,medium,5,none,7,junk-heavy,54.7
5,55.4,78.8,medium,high,public,1,low,high,6,moderate,4,junk-heavy,52.6
8,77.1,89.6,high,low,public,0,low,medium,7,high,3,mixed,80.2
6,80.9,82.5,medium,low,public,3,high,medium,5,moderate,5,junk-heavy,64.8
3,66.4,39.0,high,low,public,6,low,high,6,low,6,balanced,46.0
5,73.7,60.3,low,low,public,10,mid,low,9,moderate,4,junk-heavy,60.9
7,79.5,81.7,medium,medium,public,6,mid,low,7,moderate,1,mixed,87.5
8,75.1,95.1,medium,high,public,3,high,high,10,high,3,mixed,98.0
7,60.2,80.2,low,high,private,4,mid,low,8,high,1,balanced,98.0
2,87.1,43.1,medium,low,public,6,mid,low,5,none,6,balanced,36.4
6,80.5,47.1,medium,medium,public,4,mid,high,6,moderate,7,mixed,54.5
7,99.0,45.2,medium,medium,private,10,low,medium,8,high,1,junk-heavy,92.1
4,89.3,99.5,low,medium,public,4,mid,medium,7,moderate,4,mixed,68.5
3,75.4,31.2,high,high,public,8,low,medium,6,high,3,junk-heavy,55.5
9,83.2,43.2,low,medium,private,10,mid,high,7,none,4,balanced,95.0
1,79.3,43.3,medium,low,public,6,mid,medium,4,high,1,balanced,38.6
4,98.9,97.4,high,high,international,4,low,high,4,moderate,7,balanced,78.6
4,52.9,43.5,medium,medium,public,8,low,medium,8,low,2,junk-heavy,54.5
9,94.4,83.3,medium,medium,private,0,low,medium,7,low,4,balanced,98.0
9,71.2,37.0,low,low,public,1,mid,low,9,high,1,mixed,81.8
2,78.1,98.5,medium,high,public,8,low,medium,9,moderate,5,balanced,72.0
7,66.4,86.2,low,medium,public,6,low,high,11,moderate,1,junk-heavy,77.5
8,58.9,40.3,medium,low,public,0,mid,high,10,moderate,4,mixed,67.6
6,53.6,51.4,medium,high,international,6,low,medium,4,none,5,balanced,66.2
5,53.2,66.2,medium,medium,international,6,mid,medium,5,none,1,balanced,76.0
4,92.9,86.5,low,medium,international,6,low,medium,7,moderate,3,mixed,67.2
2,52.0,93.0,medium,low,public,0,mid,low,6,low,1,junk-heavy,35.1
5,77.7,53.6,medium,high,private,5,low,high,4,low,1,junk-heavy,59.6
9,73.1,47.6,medium,medium,public,5,low,low,11,moderate,2,mixed,98.0
7,85.4,64.1,high,medium,public,10,mid,high,5,moderate,2,mixed,82.8
9,67.6,44.9,medium,medium,public,1,low,medium,7,none,5,junk-heavy,61.0
6,99.9,78.8,medium,medium,public,8,high,medium,6,low,2,balanced,93.6
8,70.6,41.3,low,low,international,9,mid,low,9,low,1,mixed,85.7
9,59.9,86.2,high,low,public,4,low,low,10,moderate,4,mixed,98.0
2,80.2,45.5,medium,medium,public,4,mid,high,7,moderate,5,balanced,52.3
9,63.3,60.5,medium,low,public,3,low,medium,8,low,4,balanced,66.8
7,54.1,31.1,medium,medium,public,7,mid,medium,9,moderate,2,mixed,85.5
8,96.4,72.3,medium,high,public,4,low,medium,11,moderate,3,balanced,98.0
7,50.5,47.9,high,high,private,5,low,medium,6,none,4,balanced,79.7
2,89.2,60.1,high,low,public,2,mid,low,11,moderate,4,junk-heavy,61.1
9,75.7,66.9,medium,medium,international,5,high,medium,5,high,4,balanced,89.8
9,98.6,94.6,high,medium,private,4,mid,high,7,high,7,junk-heavy,92.4
